deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Owlbear Cafe Mt. Pleasant,Owlbear Cafe,Mt. Pleasant,100.0%,30b349e1-b522-495b-86e9-d6a01bfe1adb,fa46954f-bae3-4d46-b2fe-be82c26ea576,Owlbear Cafe,"500,000"
Herd Provisions East Central,Herd Provisions,East Central,99.8%,a546c8a0-ec58-4267-80d7-396db8fceee4,d19f4ae6-7b6d-4c9f-91da-7feb760b185f,Herd Provisions,"500,000"
Elephant Sushi Russian Hill,Elephant Sushi,Fillmore,98.3%,854f5139-4029-4910-b735-51ed71c5b437,db46904a-3170-46c9-810e-be90785f405b,Elephant Sushi / Elephant Sushi,"500,000"
Graft Wine Bar Uptown Charleston,Graft Wine Bar,Uptown Charleston,100.0%,5d1af680-c3c3-4fb9-862f-fa0a652ca05a,d66ae6e1-a457-4e77-8a95-f67d14edc686,Graft Wine Bar / Tutti,"500,000"
Seven Hills Russian Hill,Seven Hills,Russian Hill,100.0%,fe88d204-3237-42d1-b7b9-8941a296914b,86a695ec-2916-4119-be7e-b7151187d8f3,Collina / Seven Hills,"500,000"
Butcher's Daughter Nolita,Butcher's Daughter,Nolita,100.0%,e7a05cd6-576c-4beb-b600-b9697acaaa07,9cbb2dd6-d26c-4e96-8e9d-d9da7f08b6c0,Butcher's Daughter,"500,000"
Butcher's Daughter Williamsburg,Butcher's Daughter,Nolita,98.5%,e7a05cd6-576c-4beb-b600-b9697acaaa07,9cbb2dd6-d26c-4e96-8e9d-d9da7f08b6c0,Butcher's Daughter,"500,000"
Butcher's Daughter Nolita - Market,Butcher's Daughter,Nolita,92.0%,e7a05cd6-576c-4beb-b600-b9697acaaa07,9cbb2dd6-d26c-4e96-8e9d-d9da7f08b6c0,Butcher's Daughter,"500,000"
Florence's James Island,Florence's,James Island,100.0%,7109aa48-17ca-4e24-bf51-7232ed487d51,7065715a-94f8-4da6-bbe1-7e1af4c2bfed,Queen Street Hospitality Group,"500,000"
Laut Laut,Laut,Laut,100.0%,2d59daaf-9b5e-4485-b775-3e73565428d4,3eff8a74-e098-446d-95d6-7dcd3b016a34,Fungi Hospitality,"500,000"
Lula Mae Fort Greene,Lula Mae,Fort Greene,97.1%,7c4cb28d-d4c8-4f80-b029-33645dc9728e,40da68d1-e88b-413e-80e6-f454e67b0585,Lula Mae,"500,000"
Commodore II LES,Commodore II,LES,100.0%,8894f0e0-e7d7-4b14-8b9a-329e760117f9,d41efca1-f4b1-43e7-b24b-a51a500b7573,The Commodore Bars,"500,000"
Ariari East Village,Nowon - East Village,East Village,95.3%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"500,000"
Seamore's - Dumbo,Seamore's,Brookfield Place,95.0%,69a69019-48a4-4989-b0b6-c973507fdc10,8ca9a27e-2954-414d-b43a-62e4bf673e13,Seamore's,"500,000"
Colonia Verde Fort Greene,Colonia Verde,Fort Greene,100.0%,4c5bd22d-da75-4ed1-b086-936c5b28079c,aee338b8-c44f-4627-887d-d4cfd8e121a5,Colonia Verde,"500,000"
Roberta's Midtown,Roberta's,Bushwick,99.2%,ad248d48-8f51-4f00-83f5-4771f1926f8a,c3d4c1ab-acc3-45be-b318-18ae9f680470,Roberta's,"500,000"
R.Slice Midtown,R.Slice,Midtown,100.0%,7afe1000-0045-45bc-baa1-824e964c749b,c3d4c1ab-acc3-45be-b318-18ae9f680470,Roberta's,"500,000"
Fulgurances Greenpoint,Fulgurances,Greenpoint,100.0%,41a7c815-6009-40eb-84e4-5114f03948ef,31b7ce7c-acf9-4926-b538-e83c224ec489,Fulgurances,"500,000"
Chinta Thai Greenpoint,Chinta Thai,Greenpoint,100.0%,1a67e121-7411-4381-acba-91c65f4f0b0a,48cd2c00-ce66-4a80-b251-81457afcbc4a,Chinta Thai,"500,000"
The Brixton Marina,The Brixton,Marina,100.0%,5bf39fab-f382-4e69-9e71-9a0538da1cbc,8587afbb-b2e0-4d49-ac78-0c961481eaa4,The Brixton,"500,000"
Veselka Williamsburg,Veselka Williamsburg,Williamsburg,100.0%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
Veselka East Village,Nowon - East Village,East Village,93.4%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"500,000"
Bonnie's Williamsburg,Bonnie's,Williamsburg,95.2%,0ffad0d1-02e4-41b9-ae63-084b64dbb058,f12240ce-ab06-46a2-ab1c-38b545c75b22,Bonnie's,"500,000"
Alcove Market Harleston Village,Alcove Market,Harleston Village,99.1%,5a3d5735-51eb-4280-824d-93d089a0ff04,bbca6711-d3be-4276-822f-abb3f1ef2877,Easton Porter Group,"500,000"
Baguette Magic West Ashley,Baguette Magic,James Island,100.0%,18dd4674-e0d8-4ec4-9cf6-235ac867a1fc,1b1a0dc7-797c-49a2-bfcd-3d6a3a388e82,Baguette Magic / Kultura,"500,000"
Bobbi's Italian Beef Cobble Hill,Bobbi's Italian Beef,Cobble Hill,96.9%,5451c3a9-73f7-4293-b740-2f7f3a2c8f10,69f615d3-252e-44b4-bbb4-81e3ed697279,Bobbi's Italian Beef,"500,000"
Hinodeya Ramen Bar Marina,Hinodeya Ramen Bar,Marina,100.0%,3078055a-09c1-468c-823e-e1d92af28a1f,aad7a165-2d5a-46bf-8bdd-644d9d11a2a2,Hinodeya Ramen Bar,"500,000"
Motel Morris Chelsea,Motel Morris,Chelsea,95.0%,c4d00281-8359-4f5c-b7e3-4b0b6dc3f055,72c59172-c95c-4316-a06c-b5f1be080a61,Motel Morris,0
Birdsong SOMA,Birdsong,SOMA,96.2%,286b0d4c-c520-459c-8135-b3244129378f,3bec0dd2-7c1b-42fd-a4ca-931a84c77740,Birdsong,"500,000"
Left Door - Passes,Left Door,Pacific Heights,92.0%,1d296ab6-d857-4d01-9b70-52db62409ca4,6bffc2b4-1771-4f8b-94da-ebc8219c8f0f,Joe Wallace Group,"500,000"
Le Rivage Le Rivage,Le Rivage,Le Rivage,100.0%,5982e2e3-6016-4827-86e4-f08e288e0c22,16506bec-1acc-4bd3-a3a5-30a259bcce26,Le Rivage,0
Sagaponack Flatiron,Sagaponack,Flatiron,99.0%,03019740-a621-424f-b435-afadf9ed9690,b98499f8-e47f-4b4a-a68c-afc56d892372,Sagaponack,"500,000"
Balzem Nolita,Balzem,Nolita,100.0%,ea02ee80-d08f-4c6f-9a69-2865c501db90,ef5ac0d7-9e3f-460d-a09f-5e02363de6ad,Balzem,"500,000"
Frances The Castro,Frances,The Castro,100.0%,9a49372a-3508-4b1a-8951-817659bb3006,052e04f5-b43a-4785-9b9c-f19fb472352b,Frances / Octavia,"500,000"
Tacolicious Marina,Tacolicious,Marina,95.9%,a31cd0b5-bdd7-4d26-b8c5-8ce4c187d247,ef897494-78f5-428a-88f0-54f85e80729b,Tacolicious Group,"500,000"
Popi's Oysterette Marina,Popi's Oysterette,Marina,100.0%,0746cff5-6e53-4a93-bda8-cbe4cde51128,626a183b-fbc1-426e-ad7e-592368ed5fe7,Popi's Oysterette,"500,000"
Tacolicious Mission,Tacolicious,Marina,93.3%,a31cd0b5-bdd7-4d26-b8c5-8ce4c187d247,ef897494-78f5-428a-88f0-54f85e80729b,Tacolicious Group,"500,000"
Mosto Mission,Mosto,Mission,95.6%,818c18d5-b98a-4ace-9b76-6ee29b5962a4,ef897494-78f5-428a-88f0-54f85e80729b,Tacolicious Group,"500,000"
